id,name,weightClass,wins,losses,draws,height,weight,reach,strikesLandedPerMin,strikingAccuracy,strikesAbsorbedPerMin,strikeDefense,takedownAvgPer15Min,takedownAccuracy,takedownDefense,submissionAvgPer15Min,avgFightTime,KoTkoPercentage,SubmissionPercentage,DecisionPercentage,StrikesByStanding,StrikesByClinching,StrikesByGround,StrikesToHead,StrikesToBody,StrikesToLegs,image
michael-bonnette,Michael Bonnette,Unknown,0,0,0,,170.5,,0,0%,0,0,0,0%,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-07/BONNETTE_MICHAEL_R_07-07.png?itok=4FzX9O7o
rogerio-bontorin,Rogerio Bontorin,Flyweight Division,17,4,0,65,147.4,67,3.27,53%,290,52,0.97,60%,0,50,11:04,19%,69%,13%,78%,10%,12%,68%,16%,16%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-06/042451ad-f84d-4e48-b667-86ff95f99ab9%252FBONTORIN_ROGERIO_L_06-11.png?itok=cle9K4X9
branden-bordeaux,Branden Bordeaux,Unknown,0,0,0,,,,0,0%,0,0,0,0%,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,
ray-borg,Ray Borg,Bantamweight Division,13,5,0,64,149.4,63,1.93,52%,389,47,1.04,50%,0,48,14:27,8%,46%,46%,34%,23%,43%,71%,25%,3%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2019-07/BORG_RAY_L.png?VersionId=Onn5C9puOykEEec8uItKFBUHfHxzPzUF&itok=iIlVd97t
kevin-borjas,Kevin Borjas,Flyweight Division,9,3,0,65,125,68,6.7,40%,0,61,0,0%,0,49,12:12,89%,0%,11%,97%,2%,1%,79%,13%,8%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-04/BORJAS_KEVIN_L_11-11.png?itok=ZXdOAt9H
calen-born,Calen Born,Welterweight Division,7,1,0,68,179,73,0,0%,0,0,0,0%,0,0,0:00,29%,57%,14%,0%,0%,0%,0%,0%,0%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/4ed51c37-5d37-4662-93db-1101a1732ac3%252FBORN_CALEN_R_08-22.png?itok=gc-heQJr
caio-borralho,Caio Borralho,Middleweight Division,17,1,0,73.5,186,75,2.34,60%,156,77,0.52,60%,0.52,63,12:51,29%,24%,47%,74%,9%,17%,65%,22%,13%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/BORRALHO_CAIO_L_08-24.png?itok=RONo-yLr
zach-borrego,Zach Borrego,Middleweight Division,0,1,0,,187.5,,1.94,0%,0,0,0,0%,0,33,1:02,0%,0%,0%,0%,0%,0%,0%,0%,0%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-08/BORREGO_ZACHARY_R.png?itok=Ii_n85ZD
viacheslav-borshchev,Viacheslav Borshchev,Lightweight Division,8,5,1,71,156,69,4.77,54%,0,43,0.15,0%,0.75,57,11:06,75%,0%,25%,91%,5%,4%,52%,25%,24%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/BORSHCHEV_VIACHESLAV_L_08-24.png?itok=Wl70NIvu
tanner-boser,Tanner Boser,Light Heavyweight Division,21,10,1,74,217,75.5,2.75,53%,0,63,0,0%,0.27,58,10:59,55%,10%,35%,87%,8%,5%,48%,20%,32%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-08/BOSER_TANNER_L_08-05.png?itok=vr0lj81x
steve-bosse,Steve Bosse,Light Heavyweight Division,12,2,0,71.5,205,72,5.38,53%,92,100,0,33%,0.92,51,5:27,75%,8%,17%,62%,15%,22%,81%,13%,6%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/a452abb0-1083-40b5-9902-c2e0742ca582%252FSteve-Bosse_473755_LeftFullBodyImage.png?itok=ZjuXsp6n
poliana-botelho,Poliana Botelho,Women's Flyweight Division,8,5,0,68,125.5,67,2.8,59%,85,77,0,57%,0.21,54,10:02,75%,0%,25%,55%,34%,11%,51%,31%,18%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-06/bb68db83-d1ae-41da-bda0-851e66497b0d%252FBOTELHO_POLIANA_L_06-04.png?itok=ci4QmeB8
skott-beyker-3,Tai Bowden,,0,0,0,0,0,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
kyron-bowen,Kyron Bowen,Middleweight Division,0,1,0,,180.5,,2.05,57%,0,0,0,0%,0,40,1:28,0%,0%,0%,100%,0%,0%,0%,50%,50%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/60238adb-fa58-45c0-8e8b-be0d9f4da8f0%252FBOWEN_KYRON_L.png?itok=MzPKkBLq
brian-bowles,Brian Bowles,Bantamweight Division,10,3,0,67,135,,2.98,27%,139,55,1.39,70%,1,64,7:32,0%,0%,0%,67%,18%,15%,74%,24%,2%,
anvar-boynazarov,Anvar Boynazarov,Featherweight Division,0,1,0,,144,,7.83,0%,0,0,0,0%,0,29,1:32,0%,0%,0%,0%,0%,0%,0%,0%,0%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-08/BOYNAZAROV_ANVAR_R.png?itok=hR9Rjlqr
kayl-dakas,Kyle Bradley,Lightweight Division,14,7,0,69,155,,3.45,40%,65,40,0,50%,0,59,5:48,0%,0%,0%,78%,15%,7%,39%,41%,20%,
paul-bradley-0,Paul Bradley,Welterweight Division,18,4,0,,171,,4.13,32%,112,100,0,17%,0,56,9:19,0%,0%,0%,81%,18%,1%,74%,13%,13%,
sean-brady,Sean Brady,Welterweight Division,18,1,0,70,170,72,2.94,56%,362,87,0.93,54%,0.12,59,14:16,17%,33%,50%,81%,5%,14%,68%,8%,24%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/BRADY_SEAN_L_09-07.png?itok=mv2_s_xe
kayl-dakas-0,Ebenezer Braga,Middleweight Division,0,0,0,0,0,,0,0%,0,0,0,0%,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,
ramiz-brahimaj,Ramiz Brahimaj,Welterweight Division,11,5,0,70,170.2,72,4.04,45%,151,44,1.51,36%,0.3,44,8:16,9%,91%,0%,83%,14%,3%,79%,15%,5%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/BRAHIMAJ_RAMIZ_L_05-18.png?itok=I3GvOJ_-
joe-brammer,Joe Brammer,Lightweight Division,7,2,1,68,156,,2.8,32%,81,50,0,50%,0,57,9:18,0%,0%,0%,80%,20%,0%,50%,35%,15%,
david-branch,David Branch,Middleweight Division,22,6,0,73,185.5,78,1.91,40%,255,44,0,33%,0.18,57,9:09,27%,32%,41%,50%,35%,15%,47%,30%,23%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2018-11/BRANCH_DAVID_L_0.png?VersionId=SH2peu_4ByIuFrVafoY.KYire9W1egwm&itok=VcpxnPKS
diego-brandao,Diego Brandao,Featherweight Division,24,11,0,67,146,68,3.38,48%,321,81,0.57,68%,0.57,62,7:56,46%,21%,33%,70%,11%,19%,68%,21%,11%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/abf369be-9e63-44bd-9541-a8ed2adb7db2%252FDiego-Brandao_231391_LeftFullBodyImage.png?itok=T0gt1Bj7
bruna-brasil,Bruna Brasil,Women's Flyweight Division,10,5,1,66,125.5,65.5,4.14,59%,155,54,0,67%,0.19,48,12:53,30%,20%,50%,73%,22%,5%,43%,43%,15%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/4/BRASIL_BRUNA_L_07-27.png?itok=O3WnXteo
martin-bravo,Martin Bravo,Featherweight Division,12,3,0,68,144,71.5,5.72,40%,260,86,0,36%,0.52,51,7:13,42%,42%,17%,92%,5%,3%,73%,20%,7%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2019-09/BRAVO_MARTIN_L.png?VersionId=KBX5x4NwGrZ0Z5Qx8UYdrPH3NJn5bv.n&itok=87c4y9ty
mike-breeden,Mike Breeden,Lightweight Division,11,6,0,70,159.5,70,7.28,45%,98,68,0,30%,0.33,43,9:09,82%,0%,18%,92%,7%,1%,68%,25%,7%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-03/BREEDEN_MIKE_L_10-21.png?itok=eN1t6gvw
tom-breese,Tom Breese,Middleweight Division,12,3,0,75,186,73.5,2.81,51%,0,71,1.07,0%,1.07,61,7:02,42%,50%,8%,74%,13%,13%,67%,26%,7%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-06/69395%252Fprofile-galery%252Ffullbodyleft-picture%252FBREESE_TOM_L_06-05.png?itok=8_25IUDu
elves-brener,Elves Brener,Lightweight Division,16,5,0,70,167,72.5,5.3,48%,123,76,0,24%,0.49,48,12:11,19%,69%,13%,88%,5%,7%,49%,22%,29%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-05/BRENNER_ELVES_L_05-04.png?itok=jPoL2lpt
kris-avila-0,Chris Brennan,Welterweight Division,11,5,1,68,170,,0.97,40%,0,25,2.14,0%,0,50,8:45,0%,0%,0%,48%,29%,24%,57%,24%,19%,
charlie-brenneman,Charlie Brenneman,Lightweight Division,19,8,0,70,156,72,1.55,57%,423,73,0,42%,0,47,7:44,0%,0%,0%,24%,14%,62%,40%,40%,20%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Charlie_Brenneman/CharlieBrennaman_RedCorner.png?VersionId=zaWWggctyZrwP4rPmQC8cvZEdsC_JOb9&itok=oTvkqQZz
marcos-brigagao,Marcos Brigagao,Light Heavyweight Division,0,0,0,,202.5,,3.27,43%,0,36,0,0%,0,26,15:00,0%,0%,0%,78%,22%,0%,54%,35%,11%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/6bab4bd7-387d-4723-8d7c-749bfb1aa123%252FBRIGAGAO_MARCOS_L.png?itok=1UZypwNK
jason-brilz,Jason Brilz,Light Heavyweight Division,18,5,1,71,204,71,1.78,40%,237,25,1.29,25%,0,65,9:56,0%,0%,0%,41%,30%,30%,72%,12%,15%,
marcus-brimage,Marcus Brimage,Bantamweight Division,7,5,0,64,136,71,3.64,36%,56,80,0,100%,0.37,57,10:03,43%,0%,57%,94%,6%,1%,55%,26%,19%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/27593adb-5191-4bdd-b116-fdac82dadb45%252FMarcus-Brimage_231414_LeftFullBodyImage.png?itok=u8fLmXc2
aaron-brink,Aaron Brink,Heavyweight Division,8,3,0,75,231,,5.71,42%,0,0,0,0%,0,57,1:51,0%,0%,0%,18%,82%,0%,91%,9%,0%,
henry-briones,Henry Briones,Bantamweight Division,19,8,1,68,136,69,4.68,43%,0,52,0.58,0%,0.29,53,10:16,53%,32%,16%,84%,11%,4%,56%,35%,9%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/8add01cf-bb1e-4ad7-bcb0-e7b7017bed8e%252Fhenry-briones_498730_LeftFullBodyImage.png?itok=Csjb4mkq
joanderson-brito,Joanderson Brito,Featherweight Division,17,4,1,68,146,72,2.7,50%,308,73,0.95,68%,0.24,45,7:55,47%,41%,12%,60%,13%,28%,54%,16%,30%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-06/BRITO_JOANDERSON_L_07-01.png?itok=ZXw8N6BP
kaik-brito,Kaik Brito,Welterweight Division,0,1,0,,,,3.87,38%,0,56,2,0%,0,55,15:00,0%,0%,0%,74%,19%,7%,69%,12%,19%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-08/BRITO_KAIK_L.png?itok=6xFbeFPb
antwain-britt,Antwain Britt,Middleweight Division,0,0,0,73,185,,2.81,39%,156,50,0,40%,0,44,6:03,0%,0%,0%,64%,11%,25%,89%,4%,7%,
will-brooks,Will Brooks,Lightweight Division,18,4,0,70,156,72,2.54,59%,208,83,0.26,52%,0,56,14:27,28%,22%,50%,47%,33%,20%,60%,28%,12%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2020-03/will-brooks_594572_LeftFullBodyImage.png?VersionId=8Gp8WAciAUZbbXlxgd6pJHX8uHElXMcI&itok=nyv6ZBUp
jarred-brooks,Jarred Brooks,Flyweight Division,14,2,0,63,125.5,62,1.66,46%,454,69,0.57,57%,0,63,13:14,17%,42%,42%,40%,18%,42%,65%,29%,6%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68192/profile-galery/fullbodyleft-picture/jarred-brooks_619388_LeftFullBodyImage.png?VersionId=lUcS4L42r7SzMtzt34dYW_Qh23Yf0Uzm&itok=-HM7A1vt
rob-broughton,Rob Broughton,Heavyweight Division,15,7,1,74,258,,2.54,60%,0,27,3.24,0%,0,52,13:54,0%,0%,0%,66%,9%,25%,62%,19%,19%,
mike-brown,Mike Brown,Featherweight Division,26,9,0,66,145.5,70,2.45,45%,323,67,0.62,40%,0.37,61,8:37,0%,0%,0%,31%,35%,33%,62%,16%,22%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Mike_Brown/MikeBrown_UFC146_54.png?VersionId=ACKpV20krAQgwWQ8j.aPA3MkDmb.OPxI&itok=dzOC8VNP
humberto-brown,Humberto Brown,Featherweight Division,4,5,0,70,146,71,2.19,50%,143,0,0,25%,0,62,10:30,25%,50%,25%,44%,17%,39%,72%,6%,22%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/322e848a-8db1-4083-b80b-74ebc018e9d1%252Fhumberto-brown_498760_LeftFullBodyImage.png?itok=RgbHeqJN
damien-brown,Damien Brown,Lightweight Division,17,12,0,70,156,68.5,4.86,39%,68,54,0.68,27%,0.45,50,11:01,18%,47%,35%,86%,5%,9%,66%,16%,19%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/6168b819-b85a-4307-b0f1-75c3362e0765%252Fdamien-brown_584034_LeftFullBodyImage.png?itok=XSeVwY9l
todd-brown,Todd Brown,Light Heavyweight Division,15,3,0,71,205,,3.85,45%,0,50,0,0%,0,49,10:00,0%,0%,0%,58%,42%,0%,33%,26%,42%,
matt-brown,Matt Brown,Welterweight Division,26,19,0,72,170,75,2.92,55%,168,64,1.3,47%,0.6,55,9:13,65%,27%,8%,56%,27%,17%,61%,30%,9%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-05/BROWN_MATT_L_05-13.png?itok=d4G-Qwg5
tj-brown,TJ Brown,Featherweight Division,17,11,0,69,146,72,2.89,45%,341,37,1.31,58%,0,49,12:42,24%,59%,18%,74%,12%,14%,73%,19%,8%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/BROWN_TJ_L_06-25.png?itok=37pjCMF5
travis-browne,Travis Browne,Heavyweight Division,18,7,1,78.5,247.5,79,4.31,41%,121,75,0.22,69%,0.66,43,8:02,0%,0%,0%,62%,14%,24%,60%,25%,16%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/c1cca132-7c8d-4465-b290-75de311cf7d6%252FTravis-Browne_1165_LeftFullBodyImage.png?itok=EhxoVwd7
junie-browning,Junie Browning,Lightweight Division,3,2,0,69,156,,1.76,48%,353,0,3.53,67%,0,67,4:15,0%,0%,0%,81%,9%,9%,66%,19%,16%,
stephanie-bruna-luciano,Stephanie Luciano,Women's Strawweight Division,6,2,1,66,116,65.5,3.38,42%,67,81,0,67%,0.33,61,15:00,33%,0%,67%,87%,8%,5%,67%,22%,12%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/LUCIANO_STEPHANIE_L_03-15.png?itok=iibOX4-t
cody-brundage,Cody Brundage,Middleweight Division,11,6,0,72,186,72,2.98,55%,215,69,0.86,48%,0.65,43,5:49,55%,27%,18%,56%,9%,35%,81%,11%,9%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/BRUNDAGE_CODY_L_03-01.png?itok=v5ykJ7Gg
steve-bruno,Steve Bruno,Welterweight Division,13,5,0,70,171,,3.38,52%,194,46,0.39,25%,0,36,12:55,0%,0%,0%,68%,24%,8%,49%,11%,41%,
derek-brunson,Derek Brunson,Middleweight Division,23,9,0,73,185.5,77,3.05,47%,314,86,0.61,33%,0.54,51,8:37,52%,17%,30%,62%,15%,23%,69%,15%,16%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-03/BRUNSON_DEREK_L_03-05.png?itok=JICpb7Hn
josh-bryant,Josh Bryant,Middleweight Division,10,2,0,70,185,,6.1,20%,0,0,0,0%,0,43,8:12,0%,0%,0%,100%,0%,0%,78%,11%,11%,
dennis-bryant,Dennis Bryant,Light Heavyweight Division,5,2,0,73,205.5,72,10.56,59%,0,0,0,0%,0,14,1:48,0%,0%,0%,100%,0%,0%,26%,21%,53%,
robert-bryczek,Robert Bryczek,Middleweight Division,17,6,0,72,185.5,75,4.47,24%,0,100,0,0%,0,60,15:00,65%,6%,29%,94%,6%,0%,59%,31%,9%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-02/BRYZCEK_ROBERT_L_02-10.png?itok=A9mC-jwV
justin-buchholz,Justin Buchholz,Lightweight Division,9,5,0,72,156,,4.14,27%,0,33,0.79,0%,0.4,51,7:35,0%,0%,0%,63%,26%,11%,71%,16%,13%,
martin-buday,Martin Buday,Heavyweight Division,14,2,0,76,275,77,5.54,54%,21,100,0.21,25%,0.42,52,10:14,50%,14%,36%,65%,32%,3%,63%,25%,12%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-12/BUDAY_MARTIN_L_12-16.png?itok=icD8smnz
dylan-budka,Dylan Budka,Middleweight Division,7,5,0,72,186,75,1.8,38%,193,77,0.39,38%,0,43,9:42,14%,29%,57%,49%,41%,10%,68%,29%,2%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-04/BUDKA_DYLAN_L_04-06.png?itok=DwQSJciv
paul-buentello,Paul Buentello,Heavyweight Division,25,12,0,74,246,,3.83,46%,19,39,0.38,33%,0.76,52,7:52,0%,0%,0%,58%,36%,6%,68%,23%,9%,
modestas-bukauskas,Modestas Bukauskas,Light Heavyweight Division,17,6,0,75,203,76,4.11,42%,37,71,0.19,67%,0.19,50,9:00,59%,18%,24%,87%,11%,3%,69%,20%,10%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/BUKAUSKAS_MODESTAS_L_02-22.png?itok=P_vHUkFm
felipe-bunes,Felipe Bunes,Flyweight Division,14,7,0,67,126,69,7.86,53%,259,0,2.59,25%,0,41,5:48,14%,64%,21%,98%,2%,0%,60%,21%,19%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/2/BUNES_FELIPE_L_01-11.png?itok=wEck3Ajf
wuliji-buren,Wuliji Buren,Bantamweight Division,10,8,0,69,135.5,69,3.02,43%,328,78,0.37,43%,0,56,10:17,20%,40%,40%,70%,14%,17%,53%,27%,20%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Wuliji_Buren/BUREN_WULIJI_L.png?itok=gxIzdLMM
shane-burgos,Shane Burgos,Featherweight Division,15,3,0,71,145.8,75.5,6.78,52%,43,92,0.43,44%,0.64,56,12:46,28%,28%,44%,82%,10%,8%,64%,19%,17%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-07/BURGOS_SHANE_L_07-16.png?itok=iClZJFxe
joshua-burkman,Joshua Burkman,Welterweight Division,29,17,0,70,170.5,72,3.13,44%,253,73,0.3,37%,0.15,52,10:37,0%,0%,0%,67%,23%,10%,48%,17%,36%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/e401625f-d815-4af6-9d80-b7aa96236d40%252FJosh-Burkman_713_LeftFullBodyImage.png?itok=ooCaGErs
justin-burlinson,Justin Burlinson,Welterweight Division,0,1,0,73,170.5,74,3.09,40%,0,100,9.28,0%,0,62,1:37,0%,0%,0%,50%,50%,0%,100%,0%,0%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-11/71850%252Fprofile-galery%252Ffullbodyright-picture%252FBURLINSON_JUSTIN_R.png?itok=zL2y30DN
nate-burnard,Nate Burnard,Unknown,0,0,0,,264,,0,0%,0,0,0,0%,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-07/BURNARD_NATE_L_07-07.png?itok=CBzOqZSw
mads-burnell,Mads Burnell,Featherweight Division,9,3,0,68,146,69,2.71,42%,345,22,0.38,47%,0,51,13:02,0%,56%,44%,58%,8%,34%,74%,16%,10%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/2015c6c1-68d2-4e7b-bb08-a6d81f73304b%252FMads-Burnell_636913_LeftFullBodyImage.png?itok=jlW6FyWO
mikey-burnett,Mikey Burnett,Lightweight Division,0,0,0,66,170,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
gilbert-burns,Gilbert Burns,Welterweight Division,22,8,0,70,171,71,3.57,49%,210,54,0.46,38%,0.2,53,12:44,27%,41%,32%,75%,11%,15%,59%,22%,19%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/BURNS_GILBERT_L_09-07.png?itok=Tb925Ifg
herbert-burns,Herbert Burns,Featherweight Division,11,6,0,69,146,73.5,5.17,37%,294,67,1.84,35%,0.37,42,5:50,9%,73%,18%,64%,21%,14%,51%,36%,13%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/BURNS_HERBERT_L_3-30.png?itok=lxgBNh0r
nah-shon-burrell,Nah-Shon Burrell,Welterweight Division,9,3,0,71,171,76,3.45,48%,0,52,0.31,0%,0,56,11:49,0%,0%,0%,66%,22%,12%,71%,22%,7%,
martin-buschkamp,Martin Buschkamp,Featherweight Division,9,0,0,69,145,70,0,0%,0,0,0,0%,0,0,0:00,0%,78%,22%,0%,0%,0%,0%,0%,0%,
bubba-bush,Bubba Bush,Middleweight Division,8,3,0,72,185,73,7.01,56%,282,60,0,50%,0,26,8:00,50%,38%,13%,50%,10%,40%,40%,10%,50%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/96967fa8-7754-48d3-aece-e0b4ae3cb7f3%252FBubba-Bush_490461_LeftFullBodyImage.png?itok=xWaCG4jm
dakota-bush,Dakota Bush,Lightweight Division,8,4,0,70,155.5,73.5,4.42,39%,240,0,0,33%,0,42,9:24,25%,50%,25%,94%,4%,2%,48%,15%,37%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-06/BUSH_DAKOTA_L_04-17.png?itok=rOx3oRMd
murilo-bustamante,Murilo Bustamante,Middleweight Division,11,1,1,73,183,,1.9,33%,246,55,1.23,33%,0.21,60,12:25,0%,0%,0%,57%,13%,30%,90%,8%,2%,
kevin-byorns-1,Todd Butler,Lightweight Division,0,0,0,0,0,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
jesse-butler,Jesse Butler,Bantamweight Division,12,6,0,70,136,73,4.62,35%,0,0,0,0%,0,40,7:42,8%,67%,25%,100%,0%,0%,55%,29%,16%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-06/BUTLER_JESSE_L_06-03.png?itok=9xeEJP4e
jp-buys,JP Buys,Bantamweight Division,9,6,0,65,136,67,3.02,40%,155,25,2.32,25%,0,40,6:28,33%,56%,11%,52%,16%,32%,67%,15%,18%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-08/BUYS_JP_L_08-12.png?itok=1VAxDpLb
dennis-buzukja,Dennis Buzukja,Featherweight Division,12,5,0,69,155.5,70.5,4.82,43%,63,75,0.21,27%,0.42,49,11:52,42%,8%,50%,83%,11%,6%,55%,26%,19%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/BUZUKJA_DENNIS_L_08-24.png?itok=sjBPpfGu
charles-byrd,Charles Byrd,Middleweight Division,10,7,0,70,184.5,73,2.63,56%,250,40,1.5,50%,0,56,5:00,30%,50%,20%,47%,15%,39%,83%,7%,11%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67587/profile-galery/fullbodyleft-picture/BYRD_CHARLES_L.png?VersionId=qAx8l64VSdMJuGwxGJa0rGCRfL2Dek0D&itok=08jdJRcN
yan-cabral,Yan Cabral,Lightweight Division,12,3,0,71,156,73,1.98,48%,289,38,1.24,36%,0.21,62,12:07,0%,100%,0%,48%,16%,36%,77%,11%,12%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/4da6245b-b7a0-4edf-94b6-65f1dfaec508%252Fyan-cabral_309186_LeftFullBodyImage.png?itok=iZ46GAWU
alex-caceres,Alex Caceres,Featherweight Division,21,15,0,70,158.8,73.5,3.09,50%,54,65,0.67,68%,0.21,63,12:02,19%,33%,48%,86%,8%,6%,63%,25%,12%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-06/CACERES_ALEX_L_06-03.png?itok=66f6qyRO
vince-cachero,Vince Cachero,Bantamweight Division,7,4,0,66,135.5,68,6.51,46%,0,19,0.54,0%,0,43,13:49,29%,29%,43%,79%,18%,3%,73%,14%,13%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-02/71684%252Fprofile-galery%252Ffullbodyleft-picture%252FCACHERO_VINCE_L_08-01.png?itok=55UffkZg
priscila-cachoeira,Priscila Cachoeira,Women's Bantamweight Division,13,6,0,67,135,65,7.15,44%,15,66,0,33%,0.45,44,9:07,62%,0%,38%,84%,10%,6%,75%,19%,6%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-01/CACHOEIRA_PRISCILA_L_01-20.png?itok=Y8pRvGJt
ricky-calatayud,Ricky Calatayud,Flyweight Division,0,0,0,,,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
nicolle-caliari,Nicolle Caliari,Women's Flyweight Division,8,3,0,63,125.5,62,5.57,42%,380,0,1.52,29%,0,56,9:53,63%,38%,0%,91%,7%,3%,55%,32%,13%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/2/CALIARI_NICOLLE_L_01-11.png?itok=ziDkqsZg
taylor-callens,Taylor Callens,Lightweight Division,0,0,0,,,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
cynthia-calvillo,Cynthia Calvillo,Women's Strawweight Division,9,6,1,64,127.6,64,4.12,38%,180,78,0.81,44%,0,64,12:50,22%,33%,44%,87%,3%,11%,54%,30%,16%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-04/CALVILLO_CYNTHIA_L_04-08.png?itok=7Un49b0G
frank-camacho,Frank Camacho,Lightweight Division,22,10,0,70,155,73,7.44,46%,111,73,0,31%,0,52,8:26,77%,9%,14%,90%,10%,0%,78%,20%,2%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-05/7a8af626-0417-46a8-a875-d23f046d8a97%252FCAMACHO_FRANK_L_05-14.png?itok=OGa-rmMG
fabricio-camoes,Fabricio Camoes,Lightweight Division,14,9,1,70,158,73,1.85,33%,234,20,1.46,32%,0,61,7:49,0%,0%,0%,65%,24%,11%,62%,17%,21%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/8dcdd20b-6da7-4323-9624-fda9543ec780%252FFabricio-Camoes_1133_LeftFullBodyImage.png?itok=j7Q5DSN_
brian-camozzi,Brian Camozzi,Welterweight Division,7,5,0,74,171,78,6.39,26%,0,0,0.73,0%,0,55,6:53,43%,57%,0%,98%,0%,2%,54%,17%,29%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/1f1bf675-e05f-40ff-a46b-9f29a0db71b2%252Fbrian-camozzi_611147_LeftFullBodyImage.png?itok=rZ4m8AX-
