id,name,weightClass,wins,losses,draws,height,weight,reach,strikesLandedPerMin,strikingAccuracy,strikesAbsorbedPerMin,strikeDefense,takedownAvgPer15Min,takedownAccuracy,takedownDefense,submissionAvgPer15Min,avgFightTime,KoTkoPercentage,SubmissionPercentage,DecisionPercentage,StrikesByStanding,StrikesByClinching,StrikesByGround,StrikesToHead,StrikesToBody,StrikesToLegs,image
cyril-asker,Cyril Asker,Heavyweight Division,9,4,0,72,243.5,74,5.82,39%,441,100,0.88,63%,0,36,3:24,44%,33%,22%,35%,7%,58%,89%,11%,0%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67690/profile-galery/fullbodyleft-picture/cyril-asker_582930_LeftFullBodyImage.png?VersionId=TLECFA4ysUjurLgo1LoZ5j.62_PgZ4HH&itok=4S45f8pl
khusein-askhabov,Khusein Askhabov,Featherweight Division,23,1,0,68,146,69,4.13,26%,0,67,0,0%,0,57,15:00,26%,43%,30%,83%,17%,0%,50%,23%,27%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-02/ASKHABOV_KHUSEIN_L_02-18.png?itok=-rL5rj9b
scott-askham,Scott Askham,Middleweight Division,14,4,0,75,185,75,3.52,46%,44,65,0.67,18%,0.89,52,11:16,64%,14%,21%,72%,23%,5%,48%,29%,23%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/ab383662-2b00-4d86-b8cb-6af54e92fd1d%252FScott-Askham_496987_LeftFullBodyImage.png?itok=ndhuTicd
ben-askren,Ben Askren,Welterweight Division,19,2,0,71,171,72,5.66,49%,433,0,0.87,56%,0,36,5:46,32%,32%,37%,73%,17%,10%,86%,6%,8%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/71443/profile-galery/fullbodyleft-picture/ASKREN_BEN_L.png?VersionId=mL.Z0hdamNtjwq3YsCAgWT9GMWD5Sm7r&itok=-sGlM2Kc
ibo-aslan,Ibo Aslan,Light Heavyweight Division,14,2,0,75,205,77.5,4.43,50%,0,83,0,0%,1.7,63,4:24,100%,0%,0%,88%,8%,4%,83%,5%,12%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/2/ASLAN_IBO_L_10-26.png?itok=xe_62CKw
tom-aspinall,Tom Aspinall,Heavyweight Division,15,3,0,77,255,78,2.89,67%,327,100,1.63,100%,4.09,65,2:02,80%,20%,0%,55%,11%,34%,71%,12%,17%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ASPINALL_TOM_BELT_L_07-27.png?itok=GKLL6fSZ
bruno-assis,Bruno Assis,Middleweight Division,0,0,0,74,185,,3.2,43%,200,67,1,50%,0,37,15:00,0%,0%,0%,79%,11%,11%,68%,26%,5%,
raphael-assuncao,Raphael Assunção,Bantamweight Division,28,10,0,65.5,136,66.5,2.5,43%,165,78,0.25,39%,0.15,67,12:32,15%,37%,48%,80%,11%,9%,53%,17%,30%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-03/ASSUNCAO_RAPHAEL_L_03-11.png?itok=NbhFLh0s
olivier-aubin-mercier,Olivier Aubin-Mercier,Lightweight Division,12,5,0,69,155.5,70.5,2.97,51%,236,71,0.51,34%,0.21,56,12:11,8%,75%,17%,72%,16%,12%,68%,21%,10%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2018-12/AUBIN-MERCIER_OLIVIER_L.png?VersionId=OKFi4jt84PKGKM1d56QfcRjjuancF3n8&itok=gI3hVBqO
jose-augusto,Jose Augusto,Light Heavyweight Division,0,0,0,,,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
leonardo-augusto-leleco,Leonardo Augusto Leleco,Middleweight Division,11,3,0,72,186,73,2.99,56%,0,53,1.01,0%,0,45,14:53,27%,55%,18%,56%,17%,27%,67%,26%,7%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/e691a598-eeac-46f7-970d-053fe89e0fa7%252FLeonardo-Augusto-Guimaraes_573986_LeftFullBodyImage.png?itok=qHx-1KO7
marcus-aurelio,Marcus Aurelio,Lightweight Division,18,8,0,70,156,,5.59,33%,116,28,0.7,14%,0.23,60,10:48,0%,0%,0%,76%,10%,14%,86%,9%,5%,
chris-avila,Chris Avila,Featherweight Division,5,4,0,70,146,72,4.17,30%,0,46,0,0%,0,49,15:00,60%,20%,20%,85%,13%,3%,72%,14%,14%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/85cf3205-7d97-441c-a2b5-3175415b27ef%252Fchris-avila_597692_LeftFullBodyImage.png?itok=AH44lSF1
julia-avila,Julia Avila,Women's Bantamweight Division,9,4,0,67,135.5,68,3.28,42%,63,53,0.21,38%,0.21,56,11:49,44%,22%,33%,79%,17%,5%,59%,18%,23%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/AVILA_JULIA_L_02-15.png?itok=TS3-e50A
jessin-ayari,Jessin Ayari,Lightweight Division,16,6,0,72,156,73.5,3.59,38%,0,50,0.32,0%,0,59,11:33,19%,50%,31%,86%,12%,2%,73%,12%,15%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2020-10/68250%252Fprofile-galery%252Ffullbodyleft-picture%252FAYARI_JESSIN_L_10-03.png?itok=AZCI8QW8
abu-azaitar,Abu Azaitar,Middleweight Division,14,4,1,69,186,76,4.32,43%,100,43,0,38%,0,51,14:59,50%,7%,43%,73%,17%,10%,50%,37%,13%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-12/3/AZAITAR_ABU_L_10-21.png?itok=4pRZr9vp
hunter-azure,Hunter Azure,Bantamweight Division,9,2,0,68,135.5,70.5,2.08,53%,197,68,1.31,35%,0.22,59,13:44,33%,11%,56%,75%,10%,15%,55%,20%,25%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-04/71504%252Fprofile-galery%252Ffullbodyleft-picture%252FAZURE_HUNTER_L_04-10.png?itok=k29rCUa7
niklas-backstrom,Niklas Backstrom,Featherweight Division,8,2,0,73,146,74,3.65,42%,292,73,2.19,80%,0,40,6:51,0%,82%,18%,65%,26%,9%,52%,26%,22%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/b5db91d7-cf5d-4fe7-a3fd-e9e31784065f%252FNiklas-Backstrom_485282_LeftFullBodyImage.png?itok=9mrwNMrO
seth-baczynski,Seth Baczynski,Welterweight Division,18,11,0,75,170,74,3.14,32%,89,48,0.75,17%,0.3,51,9:09,0%,0%,0%,67%,21%,12%,66%,23%,11%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/a166ff62-5193-4022-86e9-587abc91ea00%252FSeth-Baczynski_1184_LeftFullBodyImage.png?itok=CrgMvKJO
abdul-azeem-badakhshi,Abdul Azeem Badakhshi,Featherweight Division,0,0,0,,,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
ryan-bader,Ryan Bader,Light Heavyweight Division,22,5,0,74,204,74,1.39,43%,337,81,0.44,44%,0.51,72,10:14,0%,0%,0%,48%,10%,42%,73%,12%,14%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/bf6fcf68-753c-4865-a53d-ec84b1b1114c%252FRyan-Bader_1000_LeftFullBodyImage.png?itok=qXsARz7B
